Season,mp,gp,losses,wins,tm_pts,tm_ast,tm_treb,tm_oreb,tm_dreb,tm_stl,tm_blk,tm_tov,tm_pf,tm_fga,tm_fgm,tm_fg_pct,tm_fg3a,tm_fg3m,tm_fg3_pct,tm_fta,tm_ftm,tm_ft_pct,tm_pm,tm_pts_paint,tm_pts_2nd_chance,tm_pts_fb,tm_pts_off_tov,opp_pts,opp_ast,opp_treb,opp_oreb,opp_dreb,opp_stl,opp_blk,opp_tov,opp_pf,opp_fga,opp_fgm,opp_fg_pct,opp_fg3a,opp_fg3m,opp_fg3_pct,opp_fta,opp_ftm,opp_ft_pct,opp_pm,opp_pts_paint,opp_pts_2nd_chance,opp_pts_fb,opp_pts_off_tov,tm_poss,opp_poss,ORtg,DRtg,pace,ast_pct,ast_tov_ratio,ast_ratio,oreb_pct,dreb_pct,treb_pct,tov_ratio,efg_pct,ts_pct
1998,1920,8,5,3,88.25,19.75,43.625,14.875,28.75,8.25,5.0,16.5,24.375,76.0,31.75,0.416375,17.0,5.125,0.2545,26.75,19.625,0.7335,-1.5,36.25,14.75,11.625,0.0,89.75,19.75,42.875,16.0,26.875,9.625,5.0,12.625,24.0,80.0,32.875,0.41125,14.0,4.0,0.295375,27.375,20.0,0.727625,1.5,31.25,14.75,13.75,0.0,94.16353889288462,94.35103889288462,46.813355782112836,47.60905021467,11.782161111610577,62.20472440944882,1.196969696969697,15.924850830511208,7.125748502994012,12.849162011173185,10.086705202312139,15.82430229212621,0.45148026315789475,0.5027344195055258
2000,4585,19,9,10,91.0,20.473684210526315,41.21052631578947,12.0,29.210526315789473,6.7368421052631575,5.947368421052632,15.0,21.42105263157895,78.26315789473684,34.1578947368421,0.43705263157894736,14.105263157894736,5.526315789473684,0.37626315789473685,23.31578947368421,17.157894736842106,0.728421052631579,-3.1052631578947367,30.42105263157895,14.210526315789474,13.526315789473685,,94.10526315789474,21.68421052631579,44.10526315789474,14.526315789473685,29.57894736842105,8.0,5.947368421052632,13.578947368421053,21.36842105263158,81.36842105263158,35.10526315789474,0.43178947368421056,14.578947368421053,5.315789473684211,0.34936842105263155,23.789473684210527,18.57894736842105,0.7950526315789473,3.1052631578947367,37.1578947368421,15.631578947368421,14.947368421052632,,95.69049786784743,95.83260313100533,47.51385056184168,49.13520231612083,5.0126002442447835,59.93836671802774,1.3649122807017544,16.51159631906007,5.772151898734177,13.357400722021662,9.660703269586675,14.48965895918492,0.47175521183591124,0.5139959094368342
2002,2425,10,4,6,95.8,20.1,39.8,12.1,27.7,8.2,4.1,12.9,24.7,75.8,34.5,0.4558,14.8,5.8,0.3773,27.0,21.0,0.7827999999999999,5.3,31.8,13.3,8.7,18.8,90.5,18.4,37.7,11.5,26.2,6.9,3.1,14.5,23.7,74.4,32.3,0.4342,15.5,5.2,0.33009999999999995,27.0,20.7,0.7676000000000001,-5.3,38.8,16.5,11.6,16.9,94.31177789803911,94.31177789803911,50.78899058798882,47.97916125483286,9.333949152795622,58.2608695652174,1.558139534883721,16.655618163738815,6.318537859007833,14.13265306122449,10.270967741935484,12.825611453569298,0.49340369393139843,0.5463047445255474
2004,1225,5,4,1,89.6,20.4,35.6,10.0,25.6,7.2,3.8,15.2,20.6,77.6,33.2,0.4304,19.2,6.4,0.3238,22.0,16.8,0.757,-10.4,36.8,12.0,10.4,15.4,100.0,22.0,42.2,10.6,31.6,8.0,6.6,14.0,20.8,79.0,37.8,0.4798,18.2,6.6,0.3518,23.0,17.8,0.773,10.4,31.6,11.2,14.2,15.2,96.53561655333617,96.83561655333617,46.33574423687549,51.71400026436997,18.942488141061776,61.44578313253011,1.3421052631578947,16.601562499999996,4.8076923076923075,14.143646408839778,9.151670951156811,14.832162373145978,0.4690721649484537,0.5132905591200733
2007,1440,6,4,2,87.83333333333333,18.5,37.5,12.5,25.0,7.166666666666667,4.166666666666667,16.666666666666668,21.666666666666668,74.33333333333333,32.833333333333336,0.4443333333333333,10.833333333333334,3.6666666666666665,0.2985,25.0,18.5,0.7536666666666667,-3.0,37.333333333333336,16.666666666666668,14.0,18.166666666666668,90.83333333333333,20.5,39.166666666666664,13.166666666666666,26.0,8.0,6.333333333333333,15.333333333333334,21.166666666666668,75.5,35.0,0.4633333333333334,11.0,3.5,0.30583333333333335,24.0,17.333333333333332,0.7043333333333334,3.0,33.666666666666664,14.5,9.333333333333334,18.5,93.73324836008243,93.43324836008242,46.927914382376954,48.53076534799894,15.597208060013738,56.345177664974614,1.1099999999999999,15.352697095435685,6.4935064935064934,13.100436681222707,9.782608695652176,16.339869281045754,0.4663677130044844,0.5146484375
2008,960,4,4,0,90.75,19.75,37.0,7.0,30.0,7.75,3.75,14.5,23.5,73.75,35.25,0.47525,20.0,6.75,0.32425,19.5,13.5,0.69175,1.5,40.0,13.75,12.75,15.25,89.25,16.0,42.0,12.75,29.25,7.0,3.75,14.0,19.25,77.75,32.25,0.415,21.25,7.25,0.345,23.5,17.5,0.7435,-1.5,34.0,7.25,12.0,16.5,93.41250786448882,94.6125078644888,48.26485435895857,47.467088171207195,23.503126966122203,56.02836879432624,1.3620689655172413,16.94115628752788,3.8620689655172415,14.035087719298245,9.367088607594937,14.974697924197047,0.523728813559322,0.5511356735090489
2010,720,3,3,0,87.33333333333333,19.666666666666668,43.0,14.666666666666666,28.333333333333332,5.666666666666667,4.333333333333333,11.333333333333334,19.333333333333332,81.0,32.666666666666664,0.4033333333333333,15.0,5.666666666666667,0.37666666666666665,21.666666666666668,16.333333333333332,0.75,-7.666666666666667,33.333333333333336,14.0,12.333333333333334,11.333333333333334,95.0,18.333333333333332,44.0,11.333333333333334,32.666666666666664,5.666666666666667,5.666666666666667,11.666666666666666,17.666666666666668,76.0,33.666666666666664,0.44333333333333336,17.666666666666668,5.333333333333333,0.288,29.0,22.333333333333332,0.7573333333333334,7.666666666666667,35.333333333333336,17.666666666666668,9.0,10.666666666666666,92.34993963782696,94.54993963782697,46.72733533686643,50.82935332445394,31.149979879275655,60.20408163265307,1.7352941176470589,16.182117388919366,6.197183098591549,14.285714285714286,9.885057471264368,11.125654450261782,0.4382716049382716,0.48232695139911635
2011,2400,10,6,4,85.9,19.4,42.7,10.6,32.1,7.2,5.3,13.3,21.7,77.9,32.8,0.42140000000000005,13.5,4.0,0.29369999999999996,21.9,16.3,0.7414,-3.5,36.4,9.1,11.2,13.9,89.4,21.5,41.7,9.6,32.1,7.2,5.7,12.2,18.6,77.7,33.7,0.43499999999999994,13.7,4.0,0.3015,24.6,18.0,0.7134,3.5,33.8,11.6,16.7,14.6,95.21097469378128,96.02097469378128,44.91927226339659,46.74951036493196,9.561597469378128,59.14634146341463,1.4586466165413532,16.134934628563823,4.964871194379391,15.39568345323741,10.118483412322275,13.189733825221152,0.4467265725288831,0.49065527325900204
2017,1920,8,4,4,110.125,24.5,45.5,11.875,33.625,8.75,3.5,12.5,23.125,89.0,39.25,0.441375,28.5,10.625,0.372125,27.75,21.0,0.7595000000000001,7.5,46.25,15.0,11.875,17.625,102.625,23.5,46.0,11.5,34.5,6.75,5.75,16.125,26.0,82.875,36.375,0.4395,28.625,9.375,0.330625,28.0,20.5,0.725125,-7.5,42.0,11.875,11.875,17.125,106.76954589490111,106.8445458949011,51.55324682809961,48.04224250382495,13.350880736862639,62.42038216560509,1.96,17.72664785471384,5.121293800539084,14.903047091412743,9.94535519125683,10.992876615952861,0.5007022471910112,0.5440420907024998
2018,2400,10,4,6,112.6,23.0,46.2,11.3,34.9,7.4,4.6,13.8,21.7,89.3,41.2,0.46130000000000004,30.5,9.6,0.3168,25.8,20.6,0.7987,9.7,45.8,12.2,14.1,16.3,102.9,20.7,41.8,9.5,32.3,6.7,3.9,15.0,22.0,83.8,35.8,0.4267,30.1,9.8,0.32589999999999997,26.4,21.5,0.8114000000000001,-9.7,45.2,12.9,13.8,18.1,107.16594324944211,107.3459432494421,52.49126369535037,47.96936975356619,10.725594324944211,55.8252427184466,1.6666666666666665,16.733114105287665,5.183486238532111,15.72072072072072,10.5,12.057456400936637,0.5151175811870101,0.55935301832055
2019,720,3,3,0,104.0,21.0,43.333333333333336,10.333333333333334,33.0,3.6666666666666665,3.6666666666666665,14.0,23.333333333333332,80.33333333333333,36.0,0.448,27.666666666666668,8.666666666666666,0.3046666666666667,29.666666666666668,23.333333333333332,0.7843333333333334,-10.333333333333334,38.0,7.666666666666667,9.666666666666666,13.333333333333334,114.33333333333333,18.0,41.666666666666664,11.333333333333334,30.333333333333332,7.666666666666667,4.666666666666667,7.333333333333333,24.666666666666668,86.0,39.0,0.45366666666666666,36.0,12.666666666666666,0.3433333333333333,29.666666666666668,23.666666666666668,0.801,10.333333333333334,39.333333333333336,12.333333333333334,9.0,12.0,102.34516526973171,102.34516526973171,50.808457696026466,55.85673394146499,34.11505508991057,58.333333333333336,1.5,16.35683871637761,5.081967213114754,14.887218045112782,10.196078431372548,13.037000248323816,0.5020746887966806,0.5568246716162194
2020,2880,12,5,7,113.0,23.416666666666668,43.75,9.5,34.25,7.916666666666667,5.916666666666667,11.833333333333334,22.166666666666668,87.33333333333333,40.833333333333336,0.47000000000000003,28.833333333333332,9.75,0.3436666666666666,29.916666666666668,21.583333333333332,0.7167500000000001,1.0,46.5,12.833333333333334,11.583333333333334,14.666666666666666,112.0,22.25,43.666666666666664,9.083333333333334,34.583333333333336,6.083333333333333,4.0,13.5,24.666666666666668,86.16666666666667,41.166666666666664,0.4795833333333333,28.333333333333332,10.583333333333334,0.3680833333333333,26.166666666666668,19.083333333333332,0.7408333333333333,-1.0,49.0,12.333333333333334,14.416666666666666,13.75,109.40071818501283,108.27571818501286,51.91191195721001,51.452514506261245,9.069851515417737,57.3469387755102,1.9788732394366197,17.250270110991064,4.310018903591683,15.807692307692308,10.009532888465206,10.53443722365649,0.5233778625954199,0.562207701747985
2021,2425,10,5,5,103.8,21.2,39.4,9.3,30.1,6.6,4.0,14.0,20.2,80.5,36.2,0.4544,33.9,11.9,0.357,24.0,19.5,0.817,1.9,40.8,12.4,12.7,18.2,101.9,20.6,39.8,8.4,31.4,6.9,4.4,13.8,21.5,81.5,37.8,0.46369999999999995,32.2,9.6,0.29660000000000003,19.8,16.7,0.836,-1.9,46.0,12.9,15.1,14.2,100.54342481572482,99.2834248157248,51.944971454758644,50.994148277841106,9.888338950834621,58.5635359116022,1.5142857142857142,16.790749247584348,4.57002457002457,15.636363636363637,9.949494949494952,13.32571863696935,0.5236024844720497,0.5699538765649023
2022,2160,9,4,5,102.88888888888889,22.11111111111111,41.22222222222222,8.777777777777779,32.44444444444444,7.555555555555555,5.555555555555555,10.777777777777779,16.11111111111111,83.44444444444444,35.888888888888886,0.42877777777777776,37.55555555555556,13.555555555555555,0.35644444444444445,20.77777777777778,17.555555555555557,0.8558888888888888,4.888888888888889,35.111111111111114,7.888888888888889,10.777777777777779,14.555555555555555,98.0,19.555555555555557,43.333333333333336,8.11111111111111,35.22222222222222,5.666666666666667,5.0,13.777777777777779,18.11111111111111,80.88888888888889,35.333333333333336,0.4391111111111111,33.666666666666664,11.666666666666666,0.35033333333333333,18.77777777777778,15.666666666666666,0.8223333333333334,-4.888888888888889,40.666666666666664,16.11111111111111,13.222222222222221,15.11111111111111,98.83884960718294,98.23884960718294,52.207271192553506,49.72658012076911,10.94876106746477,61.60990712074303,2.051546391752577,17.6218475488807,3.9898989898989905,16.0,9.750328515111695,10.426968224620545,0.511318242343542,0.5556355606758832
